PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH;NO_ORDER
1000000448696;27454;3;G Van Dijk im & export b.v.;Израиль;Другие цветы / Дельфиниум Элатум;Дельфиниум Кэндл Лавендер Шейд;Сиреневый;75;10;Дельфиниум Кэндл Лавендер Шейд. 75см;110;20;-220;0;0;0;;0;0;0;0
2000000621760;Deja Vu RSP;3;ROSAPRIMA;Эквадор;Роза Эквадор / Розаприма (RSP);Дежавю RSP;NA;50;25;Роза Эквадор Дежавю RSP. 50см;70,5;25;-25;0;0;0;;0;0;0;0
1000000470567;Morito SP;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Кустовая Морито RLR;NA;50;10;Роза Кения Кустовая Морито RLR. 50см;73,9;150;-570;0;0;0;;0;0;0;0
1000000469134;Anna Kyra SP;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Кустовая Анна Кира RLR;NA;60;10;Роза Кения Кустовая Анна Кира RLR. 60см;104;30;-90;0;0;0;;0;0;0;0
2000000594279;PRANA TR SBT;3;SUBATI FLOWERS LTD;Кения;Роза Кения / Субати (SBT);Кустовая Прана SBT;NA;40;10;Роза Кения Кустовая Прана SBT. 40см;53,2;160;-380;0;0;0;;0;0;0;0
1000000012187;10466;3;G Van Dijk im & export b.v.;Испания;Зелень / Зелень декоративная пуч.;Писташ;Зеленый;0;1;Писташ;170;1048;-2757;0;0;0;;0;0;0;0
1000000410600;101954;3;G Van Dijk im & export b.v.;Италия;Другие цветы / Акация мимоза;Акация Клер Де Люн в пучке;Зеленый;0;1;Акация Клер Де Люн в пучке;524;10;4;0;0;0;;0;0;0;0
2000000608914;117268;3;G Van Dijk im & export b.v.;Кения;Роза / Роза большеголовая;Кахала;Розовый;60;20;Роза Кахала. 60см;110;90;20;0;0;0;;0;0;0;0
2000000602431;Pink Floyd RSP;3;ROSAPRIMA;Эквадор;Роза Эквадор / Розаприма (RSP);Пинк Флойд RSP;NA;80;25;Роза Эквадор Пинк Флойд RSP. 80см;118;100;0;0;0;0;;0;0;0;0
2000000530604;Menta TH;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Мента RLR;NA;40;10;Роза Кения Мента RLR. 40см;37;20;-200;0;0;0;;0;0;0;0
1000000008883;15791;3;G Van Dijk im & export b.v.;Австралийский Союз;Зелень / Зелень декоративная пуч.;Стилграсс;Зеленый;0;1;Стилграсс;264;294;-27;0;0;0;;0;0;0;0
