PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH
2000000137629;;2;Edelman;Вьетнам;Предметы для интерьера / Керамика;Ваза керамическая "Брад";Кремовый;0;0;308516 Ваза керамическая "Брад". Кремовый. 28см.35см;1814;2;0;0;0;0;;0;0;0
2000000132983;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Орхидея Фаленопсис;Кремовый/Розовый;0;0;60001-37 Орхидея Фаленопсис. Кремовый/Розовый. 92см;187;78;0;0;0;0;;0;0;0
2000000129266;;2;Edelman;Вьетнам;Предметы для интерьера / Металл;Кашпо х 3 Ману;Серый;0;0;717382 Кашпо х 3 Ману. Серый. ;4752;1;0;0;0;0;;0;0;0
2000000129310;;2;Edelman;Вьетнам;Предметы для интерьера / Металл;Кашпо х4 Ману;Серый;0;0;717106 Кашпо х4 Ману. Серый. ;4962;2;0;0;0;0;;0;0;0
2000000134871;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Филингс;Неопределённый;0;0;11022507150400020 Лента Филингс. 20м.40мм;856;9;0;0;0;0;;0;0;0
2000000134888;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Филингс;Неопределённый;0;0;11022506200400020 Лента Филингс. 20м.40мм;856;9;0;0;0;0;;0;0;0
2000000303888;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Орхидея Фаленопсис;Лиловый;0;0;60081-09 Орхидея Фаленопсис. Лиловый. 53см;151;180;5;0;0;0;;0;0;0
2000000134901;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Шарм;Неопределённый;0;0;11017667000400020 Лента Шарм. 20м.40мм;724;3;0;0;0;0;;0;0;0
2000000130781;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Шарм;Неопределённый;0;0;11017606200400020 Лента Шарм. 20м.40мм;687;7;0;0;0;0;;0;0;0
2000000303871;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Орхидея Фаленопсис;Кремовый;0;0;60081-05 Орхидея Фаленопсис. Кремовый. 53см;129;212;6;0;0;0;;0;0;0
2000000137438;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Орхидея Фаленопсис;Кремовый/Персиковый;0;0;60002-45 Орхидея Фаленопсис. Кремовый/Персиковый. ;189;26;1;0;0;0;;0;0;0
2000000159911;;2;Edelman;Китай;Аксессуары для флористов / Аксессуары для фитодизайна ;Украшение "Цветок Дейзи";Красный;0;0;348189 Украшение "Цветок Дейзи". Красный. 60 ГРАММграмм;76,6;23;0;0;0;0;;0;0;0
2000000159928;;2;Edelman;Китай;Предметы для интерьера / Пластик;Кашпо "Рашель";Черный;0;0;321118 Кашпо "Рашель". Черный. 38Х38Х33см;2721;13;0;0;0;0;;0;0;0
2000000159935;;2;Edelman;Китай;Предметы для интерьера / Пластик;Балконница "Рашель";Черный;0;0;321130 Балконница "Рашель". Черный. 22см.60см.25см;2312;3;0;0;0;0;;0;0;0
2000000159942;;2;Edelman;Китай;Предметы для интерьера / Пластик;Балконница "Рашель";Черный;0;0;321131 Балконница "Рашель". Черный. 22 СМсм.80см.25 СМсм;3425;2;0;0;0;0;;0;0;0
2000000303789;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Ветка "Сноубол";Зеленый;0;0;52186-01 Ветка "Сноубол". Зеленый. 45см;175;18;0;0;0;0;;0;0;0
2000000303796;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Лист Монстеры;Зеленый;0;0;54105 Лист Монстеры. Зеленый. 70см;251;185;0;0;0;0;;0;0;0
2000000348049;;2;Edelman;Нидерланды;Предметы для интерьера / Свечи и подсвечники;Подсвечник квадратный "Кения" ;Светло-серый;0;0;130227 Подсвечник квадратный "Кения" . Светло-серый. 32см.35,5см.35,5см;2904;1;0;0;0;0;;0;0;0
2000000299921;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Аксессуары для фитодизайна ;Украшение на стике "Скворечник";Ассорти;0;0;200415 Украшение на стике "Скворечник". Ассорти. 30.5см.5см;58,4;4;0;0;0;0;;0;0;0
2000000136202;;2;Edelman;Вьетнам;Предметы для интерьера / Металл;Набор металических  кашпо;Черный;0;0;317240 Набор металических  кашпо. Черный. 38см.38см;2591;5;0;0;0;0;;0;0;0
2000000136219;;2;Edelman;Вьетнам;Предметы для интерьера / Металл;Набор металических  кашпо;Черный;0;0;317241 Набор металических  кашпо. Черный. 40см.50см;3727;3;0;0;0;0;;0;0;0
2000000136233;;2;Edelman;Вьетнам;Предметы для интерьера / Металл;Набор металических  кашпо;Черный;0;0;317243 Набор металических  кашпо. Черный. 55см.39см;3079;3;0;0;0;0;;0;0;0
2000000136257;;2;Edelman;Вьетнам;Предметы для интерьера / Металл;Набор металических  кашпо;Черный;0;0;317248 Набор металических  кашпо. Черный. 52Х52Х69см;6403;1;0;0;0;0;;0;0;0
2000000130866;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Бижу;Неопределённый;0;0;11017376000400020 Лента Бижу. 20м.40мм;812;2;0;0;0;0;;0;0;0
2000000130880;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Бижу;Неопределённый;0;0;11017364000400020 Лента Бижу. 20м.40мм;750;9;0;0;0;0;;0;0;0
